10.12.2020 14:44:01.363 [Test worker] INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [edu.roadmaps.core.ApplicationTest], using SpringBootContextLoader
10.12.2020 14:44:02.646 [Test worker] INFO   c.z.h.HikariDataSource - HikariPool-1 - Starting...
10.12.2020 14:44:02.709 [Test worker] INFO   c.z.h.pool.PoolBase - HikariPool-1 - Driver does not support get/set network timeout for connections. (Receiver class org.h2.jdbc.JdbcConnection does not define or inherit an implementation of the resolved method 'abstract int getNetworkTimeout()' of interface java.sql.Connection.)
10.12.2020 14:44:02.714 [Test worker] INFO   c.z.h.HikariDataSource - HikariPool-1 - Start completed.
10.12.2020 14:44:02.767 [task-1] INFO   o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
10.12.2020 14:44:02.791 [Test worker] WARN   o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
10.12.2020 14:44:02.804 [task-1] INFO   o.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.21.Final
10.12.2020 14:44:02.894 [task-1] INFO   o.h.a.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
10.12.2020 14:44:02.965 [task-1] INFO   o.h.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
10.12.2020 14:44:02.969 [task-1] WARN   o.h.d.H2Dialect - HHH000393: The 1.0.60 version of H2 implements temporary table creation such that it commits current transaction; multi-table, bulk hql/jpaql will not work properly
10.12.2020 14:44:03.357 [task-1] INFO   o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
10.12.2020 14:44:03.361 [task-1] INFO   o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
10.12.2020 14:44:03.553 [Test worker] INFO   o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 974893a2-72ff-43a1-b614-b2dfa7aa8610

10.12.2020 14:44:03.591 [Test worker] INFO   o.s.s.w.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/**'], []
10.12.2020 14:44:03.654 [Test worker] INFO   o.s.s.w.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4eb7ee9b, org.springframework.security.web.context.SecurityContextPersistenceFilter@46b92a7e, org.springframework.security.web.header.HeaderWriterFilter@384b680f, org.springframework.security.web.csrf.CsrfFilter@62236b1a, org.springframework.security.web.authentication.logout.LogoutFilter@37ac118, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2c5d447e, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@7aefaa87, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@36800a8e, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@70e6be3b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@536d6a1e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6f9f48f3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@73527d03, org.springframework.security.web.session.SessionManagementFilter@51fbff84, org.springframework.security.web.access.ExceptionTranslationFilter@b4b4bcc, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3ffdf2e2]
10.12.2020 14:44:04.005 [Test worker] INFO   o.s.d.r.c.DeferredRepositoryInitializationListener - Triggering deferred initialization of Spring Data repositories…
10.12.2020 14:44:04.036 [Test worker] INFO   o.s.d.r.c.DeferredRepositoryInitializationListener - Spring Data repositories initialized!
10.12.2020 14:44:04.041 [Test worker] INFO   e.r.c.ApplicationTest - Started ApplicationTest in 2.527 seconds (JVM running for 3.347)
10.12.2020 14:44:04.140 [SpringContextShutdownHook] INFO   o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
10.12.2020 14:44:04.141 [SpringContextShutdownHook] INFO   o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
10.12.2020 14:44:04.146 [SpringContextShutdownHook] INFO   o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
10.12.2020 14:44:04.146 [SpringContextShutdownHook] INFO   c.z.h.HikariDataSource - HikariPool-1 - Shutdown initiated...
10.12.2020 14:44:04.148 [SpringContextShutdownHook] INFO   c.z.h.HikariDataSource - HikariPool-1 - Shutdown completed.
